"person_id","obs_id","sex","site","age_estimated","height_cm","weight_kg"
23474,"rs3yp","f","Moseten",61.6,NA,45.2
22489,"e0u2c","m","Moseten",62.5,166.7,99.2
25800,"a9an5","f","Moseten",71.3,141.4,43.8
22499,"fl4yx","m","Moseten",51.9,163.4,63.7
28596,"nq4sw","f","Moseten",51.4,148.6,47.4
11282,"v7mb2","m","Moseten",56.1,157.2,58.4
4361,"4a6zh","f","Moseten",76.2,143,41.3
27062,"nc9h1","m","Moseten",41.6,164,71.5
3938,"eme8o","m","Moseten",40.9,153,64.6
21122,"m8rea","f","Moseten",66,150,50
20364,"7eu8r","f","Moseten",84,144.2,59
10181,"gv9g5","f","Moseten",48.4,150.3,60.1
24613,"h7bjm","f","Moseten",55,160,52.8
1123,"8pzqq","m","Moseten",60.4,156.1,55.8
29092,"gk2e5","m","Moseten",52.2,152.5,52.4
28384,"7lx3q","f","Moseten",46.4,143.1,88.1
3026,"hbo0w","f","Moseten",40,157.5,60.7
6192,"ww0w5","m","Moseten",38.6,161.7,66.6
24968,"syzkh","m","Moseten",39.7,166.5,61.7
8869,"dg430","f","Moseten",56.3,152.1,75.9
1252,"qf8y1","m","Moseten",39.7,165.6,65.1
12813,"d5ww4","m","Moseten",65.7,161.8,78.6
21236,"guqul","m","Moseten",71.1,161,89.7
31601,"tp2k3","m","Moseten",43,158.7,61.7
7727,"f923i","f","Moseten",41.6,151.8,80.9
32264,"mh34n","m","Moseten",52,156.2,54.6
3537,"tqba1","f","Moseten",55.4,153.3,61
8607,"e76pn","m","Moseten",42.3,161.2,56.7
30197,"vfkl4","m","Moseten",53,163.3,57.2
10789,"xtans","f","Moseten",49.4,146.3,45.8
11411,"2uuv7","f","Moseten",41.1,152,69.4
21491,"q5u7x","m","Moseten",53.1,157.6,85.9
13532,"spyia","f","Moseten",51.6,149.4,56.5
18811,"m51dv","m","Moseten",46.5,154.6,54.1
27690,"y5j7l","m","Moseten",44,160.8,59.5
31061,"l8pqu","f","Moseten",36.7,153.9,78.9
30153,"ynl04","f","Moseten",66,143.6,63.1
5,"pv6ph","f","Moseten",43.8,151,56.1
14472,"mg4hd","m","Moseten",46.1,168,77.8
26122,"mfm06","f","Moseten",40.5,150.5,66.9
22277,"fyv7n","m","Moseten",53.1,167.8,79.6
18896,"6t3pl","f","Moseten",48.3,154,55.6
30349,"boaoc","m","Moseten",52.2,156.6,54.6
19696,"s2uua","f","Moseten",47.3,153.1,51
12708,"woyg8","f","Moseten",41.1,151.1,60
22104,"swly4","f","Moseten",54.6,141,62.9
478,"5o2st","m","Moseten",54.9,166.6,83.2
6754,"cu3o4","f","Moseten",52.6,145.4,55.8
23560,"i7nwp","f","Moseten",47.8,157.7,69.8
7249,"5jkvr","m","Moseten",65.8,160.5,76.9
29099,"z9tvw","m","Moseten",62.9,162.1,79
4808,"ckt96","f","Moseten",80,141.3,34.8
16906,"5jk12","f","Moseten",61.6,146.5,53.9
1600,"3rd47","m","Moseten",74.2,164.4,68.3
23682,"ij4fx","m","Moseten",64.6,156,48.7
632,"32b0b","f","Moseten",72.7,143.5,49.9
3406,"qkny6","m","Moseten",81,159.4,62.9
16673,"w8rzd","f","Moseten",82.5,147.6,54.3
16853,"2ttfr","f","Moseten",47.5,158,71.9
10535,"9tg1e","f","Moseten",69.4,145,55.6
21937,"y3j7s","m","Moseten",55.1,163.2,68.1
4755,"kp35c","f","Moseten",58.1,152.2,60
7312,"xzc2e","f","Moseten",46.8,148.4,62.4
25513,"3taep","f","Moseten",80.8,146.2,60.4
10550,"q35sv","f","Moseten",62.7,151.1,42.5
5367,"8zace","f","Moseten",52.3,153.2,72.1
9876,"gmbrz","f","Moseten",54.2,151.3,57
27752,"bqksb","m","Moseten",63.2,145.4,47.6
20937,"am4uq","f","Moseten",52.6,153.1,81.2
7897,"8v0vy","f","Moseten",41.9,149,63.2
25442,"fawxs","f","Moseten",44.5,160.7,78.1
31092,"k74nc","m","Moseten",46.6,158.7,61.3
30898,"vkwj9","m","Moseten",49.8,170.6,52.7
18942,"ncpqa","m","Moseten",57,162,66.5
14006,"4pac3","f","Moseten",43.9,157.7,68.3
526,"2yjsv","m","Moseten",40.6,161.1,70.4
11275,"vl0kn","m","Moseten",46.3,167.2,56.6
21916,"zxrik","m","Moseten",47.6,163.5,80.9
20279,"l989g","m","Moseten",23.6,156.5,57.3
11095,"z43rz","f","Moseten",51.7,151.4,66.5
22760,"iv0p0","m","Moseten",38,158.2,70.7
18795,"mhb0c","f","Moseten",71.5,147,39.4
13898,"ujz1i","f","Moseten",33.8,148.2,57.5
17415,"1o7cq","f","Moseten",51.7,148.6,76.1
28596,"w0nbo","f","Moseten",52.5,149.2,50.5
21079,"t2bun","f","Moseten",47.5,144.2,63.5
1035,"od9gi","m","Moseten",49.5,161.3,75
6192,"84a90","m","Moseten",39.7,160,68
12708,"8htzh","f","Moseten",42.2,155,60
3537,"awhgd","f","Moseten",56.4,153.4,61.1
23569,"sq635","m","Moseten",60,163,67.6
28384,"8r0zv","f","Moseten",47.4,143.7,82.8
26079,"i6223","f","Moseten",55.9,147.1,50.8
18811,"8vkqx","m","Moseten",47.5,155,56.4
6759,"z0d0n","f","Moseten",58.5,155.4,NA
27446,"40c8j","f","Moseten",51.5,146.6,59.2
24755,"kbc0d","f","Moseten",25.4,148.2,63.1
28204,"qwlnn","f","Moseten",0.2,NA,52
31191,"gtffo","f","Moseten",59.3,153,67.3
2431,"aky48","f","Moseten",49,151.2,68.1
8692,"x7rh3","f","Moseten",48,141.2,60.9
2978,"h3jen","f","Moseten",54.2,149.7,46.7
23474,"7avya","f","Moseten",62.7,143.4,44.8
13430,"bm0nx","m","Moseten",47.6,164.4,66.2
3162,"fpjit","f","Moseten",34.4,152,62.4
8731,"fn6qu","m","Moseten",68.5,152.8,48.4
3217,"hpq0q","f","Moseten",62.2,149.7,45.3
22290,"3err6","m","Moseten",58.7,162,59
29350,"io4hu","f","Moseten",22.9,156.7,62.1
4794,"i5eqz","f","Moseten",29.8,150.4,70.2
5356,"8f83u","f","Moseten",20,152.4,85.5
